table_name	table_info	table_path	err_ds	err_hour	table_time	project	workflow	task	table_type	person_in_charge	flag	update_type
idata_dwd.t_dwd_user_dim_info_snapshot_d	影响bmh核心8点基线产出	/warehouse/idata_dwd.db/t_dwd_user_dim_info_snapshot_d	1	04	02:24	t_dwd_active_pool_d		p0结果表	掌阅-p0-结果表	张涵	1	d
idata_dwd.t_dwd_user_read_chapter_d	影响bmh核心8点基线产出	/warehouse/idata_dwd.db/t_dwd_user_read_chapter_d	1	08	06:27	t_dws_invest_user_read_retain_d				张涵	1	d
idata_dwd.t_dwd_user_recharge_pool_d	影响p0核心8点基线表产出	/warehouse/idata_dwd.db/t_dwd_user_recharge_pool_d	1	02	01:15	t_dwd_user_recharge_pool_d				郭金	1	d
idata_dwd.t_dwd_user_show_h	影响p0核心小时表产出-用户展现明细（dwd）	/warehouse/idata_dwd.db/t_dwd_user_show_h	3	3		dw_idata	t_dwd_user_show_h			郭金	1	h
idata_dwd.t_dwd_userset_init_pool	影响bmh核心8点基线产出-用户启动pool表	/warehouse/idata_dwd.db/t_dwd_userset_init_pool	1	05	03:31	t_dwd_userset_init_pool		p0结果表	掌阅-p0-结果表	张涵	1	d
idata_dwd.t_dwd_vip_book_statements_v2_d	影响p0核心8点基线表产出-vip书籍结算dwd表 包含 电子书，大咖，听书的vip用户下载书籍	/warehouse/idata_dwd.db/t_dwd_vip_book_statements_v2_d	1	06	04:28	t_dws_vip_book_statement_v2_d			无	郭金	1	d
idata_dwd.t_dwd_vip_pool_d	影响p0核心8点基线表产出-vip全量表	/warehouse/idata_dwd.db/t_dwd_vip_pool_d	1	03	02:14	t_ads_vip_sum			无	郭金	1	d
idata_dwd.t_dwd_zy_user_active_d	影响bmh核心8点基线产出	/warehouse/idata_dwd.db/t_dwd_zy_user_active_d	1	04	02:25	t_dwd_active_pool_d		p0结果表	掌阅-p0-结果表	张涵	1	d
idata_dws.dws_dj_report_manage_all_di	影响p0核心8点基线表产出-得间DWS管理维度报表指标高度汇总模型	/warehouse/idata_dws.db/dws_dj_report_manage_all_di	1	07	06:01	dws_report_manage_free_index			无	郭金	1	d
idata_dws.dws_dj_report_manage_retain_di	影响p0核心8点基线表产出-得间dws管理维度报表留存指标高度汇总模型	/warehouse/idata_dws.db/dws_dj_report_manage_retain_di	1	07	06:01	dws_report_manage_free_index			无	郭金	1	d
idata_dws.dws_report_manage_dau_di	影响p0核心8点基线表产出-DWS管理维度dau指标高度汇总模型	/warehouse/idata_dws.db/dws_report_manage_dau_di	1	07	05:30	dws_report_manage_index			无	郭金	1	d
idata_dws.dws_report_manage_read_di	影响p0核心8点基线表产出-DWS管理维度阅读指标高度汇总模型	/warehouse/idata_dws.db/dws_report_manage_read_di	1	07	05:34	dws_report_manage_index			无	郭金	1	d
idata_dws.dws_report_manage_recharge_di	影响p0核心8点基线表产出-DWS管理维度收入指标高度汇总模型	/warehouse/idata_dws.db/dws_report_manage_recharge_di	1	07	05:30	dws_report_manage_index			无	郭金	1	d
idata_dws.dws_report_manage_retain_dau_di	影响p0核心8点基线表产出-dws管理维度报表留存指标高度汇总模型	/warehouse/idata_dws.db/dws_report_manage_retain_dau_di	1	07	05:30	dws_report_manage_index			无	郭金	1	d
idata_dws.dws_report_manage_stay_di	影响p0核心8点基线表产出-DWS管理维度APP使用指标高度汇总模型	/warehouse/idata_dws.db/dws_report_manage_stay_di	1	07	05:31	dws_report_manage_index			无	郭金	1	d
idata_dws.dws_sk_report_manage_all_di	影响p0核心8点基线表产出-速看DWS管理维度报表指标高度汇总模型	/warehouse/idata_dws.db/dws_sk_report_manage_all_di	1	07	06:01	dws_report_manage_free_index			无	郭金	1	d
