table_name	table_info	table_path	err_ds	err_hour	table_time	project	workflow	task	table_type	person_in_charge	flag	update_type
idata_ods.t_ods_treader_download_h	影响p0核心小时表产出	/basicdata/kafka/treader/srv/download	2	2						郭金	1	h
idata_ods.t_ods_uc_down_recharge_h	影响p0核心小时表产出-签到日志	/warehouse/idata_ods.db/t_ods_uc_down_recharge_h	2	2		dw_idata	t_ads_new_monitor_v2_h			郭金	1	h
idata_ods.t_ods_user_app_h	影响p0核心小时表产出	/warehouse/idata_ods.db/t_ods_user_app_h	3	3		dw_idata	t_ods_user_app_h			郭金	1	h
idata_ods.t_ods_user_change_status_h	影响p0核心小时表产出	/warehouse/idata_ods.db/t_ods_user_change_status_h	2	2		dw_idata	t_dwd_user_change_status_pool_h			郭金	1	h
idata_ods.t_ods_user_events_behavior_h	影响p0核心小时表产出-解析ireader.user.click(用户点击)日志中的json串，落地到表	/warehouse/idata_ods.db/t_ods_user_events_behavior_h	3	3						郭金	1	h
idata_ods.t_ods_user_mshown_h	影响p0核心小时表产出-android客户端新用户引导实时日志	/warehouse/idata_ods.db/t_ods_user_mshown_h	2	2		dw_idata	basic_to_ods_other_h			郭金	1	h
idata_ods.t_ods_user_read_h	影响p0核心小时表产出-投放第三方平台消耗等数据	/warehouse/idata_ods.db/t_ods_user_read_h	3	3		dw_idata	t_ods_user_read_h			郭金	1	h
idata_ods.t_ods_user_read_real_rt_h	影响p0核心小时表产出-秘读曝光日志	/warehouse/idata_ods.db/t_ods_user_read_real_rt_h	3	3		dw_idata	t_ods_user_read_real_rt_h			郭金	1	h
idata_ods.t_ods_user_show_h	影响p0核心小时表产出-行为日志	/warehouse/idata_ods.db/t_ods_user_show_h	2	2		dw_idata	t_dwd_user_show_h		得间-p0-	郭金	1	h
idata_ods.t_ods_user_vip_renew_h	影响p0核心小时表产出-APP	/warehouse/idata_ods.db/t_ods_user_vip_renew_h	2	2		dw_idata	basic_to_ods_v6_h			郭金	1	h
idata_ods.t_ods_userset_init_h	影响p0核心小时表产出	/warehouse/idata_ods.db/t_ods_userset_init_h	3	3		dw_idata	t_dws_data_board_h_to_mysql_monitor			郭金	1	h
idata_ods.t_ods_watch_video_charpter_h	影响p0核心小时表产出-6版书城充值日志ods层表，字段为null赋值“-1”，此表用于获取充值a0活动用户集	/warehouse/idata_ods.db/t_ods_watch_video_charpter_h	2	2		dw_idata	basic_to_ods_other_h			郭金	1	h
idata_ods.t_ods_zhuidu_php_launch_h	影响p0核心小时表产出	/warehouse/idata_ods.db/t_ods_zhuidu_php_launch_h	2	2		dw_idata	t_ods_zhuidu_php_launch_h			郭金	1	h
idata_ods.t_ods_zhuidu_read_time_h	影响p0核心小时表产出-激励视频送章日志	/warehouse/idata_ods.db/t_ods_zhuidu_read_time_h	2	2		dw_idata	t_ods_zhuidu_read_time_h			郭金	1	h
idata_ods.t_ods_zhuidu_show_h	追读	/warehouse/idata_ods.db/t_ods_zhuidu_show_h	2	2	无	1	1	1		郭金	1	h
zy_dm.dm_pub_read_book_user_detail_di	阅读用户主题明细宽表\n\n技术文档： 5 阅读主题宽表	/warehouse/zy_dm.db/dm_pub_read_book_user_detail_di	1	21	08:44	dw_dj	无	无	得间-p0-	李志伟	1	d
zy_dm.dm_pub_user_active_detail_di	活跃用户主题宽表明细层\n｜业务线：掌阅\\得间\\速看\\追读\n｜粒度： 业务线+渠道+user_id 粒度+ip粒度\n｜技术文档：4 活跃用户主题宽表	/warehouse/zy_dm.db/dm_pub_user_active_detail_di	1	09	08:18	dw_dj	无	无	得间-p0-	李志伟	1	d
zy_dw.dwd_sensors_event_project_detail_h	神策打点日志dwd层明细宽表	/warehouse/zy_dw.db/dwd_sensors_event_project_detail_h	4	4		dw_dj	无	无	得间-p0-	李志伟	1	h
zy_dw.dwd_sukan_kyy_active_pool_df	影响p0核心8点基线表产出-速看快应用活跃全量pool表	/warehouse/zy_dw.db/dwd_sukan_kyy_active_pool_df	1	05	04:02	dwd_sukan_kyy_active_pool_df			无	郭金	1	d
zy_dw.dwd_sukan_kyy_active_pool_di	影响p0核心8点基线表产出-速看快应用活跃增量pool表	/warehouse/zy_dw.db/dwd_sukan_kyy_active_pool_di	1	06	04:00	dwd_sukan_kyy_active_pool_df			无	郭金	1	d
zy_dw.dwd_sukan_kyy_base_info_di	影响p0核心8点基线表产出-速看快应用基础表	/warehouse/zy_dw.db/dwd_sukan_kyy_base_info_di	1	04	03.38	dwd_sukan_kyy_base_info_di			无	郭金	1	d
zy_dw.dwd_sukan_kyy_base_info_hi	影响p0核心小时表产出	/warehouse/zy_dw.db/dwd_sukan_kyy_base_info_hi	3	3		zy_dw	dwd_sukan_kyy_base_info_hi			郭金	1	h
